DISTRICTE,date,source,value,window_7d_mean,window_30d_mean,District
03,2018-01-14,vri,0.0273896909923185,0.0276240381117593,,Sants-Montjuïc
04,2018-01-14,vri,0.0463163067269927,0.0466209304261961,,Les Corts
07,2018-01-14,vri,0.0302829912189492,0.0303476019018526,,Horta-Guinardó
06,2018-01-14,vri,0.0478990122124904,0.0481150627883958,,Gràcia
02,2018-01-14,vri,0.0411781545212605,0.0413917556846425,,Eixample
01,2018-01-14,vri,0.032490449268785,0.0327714636046343,,Ciutat Vella
08,2018-01-14,vri,0.0259999101938511,0.0259243918136302,,Nou Barris
10,2018-01-14,vri,0.0342481351952693,0.0343894873701918,,Sant Martí
09,2018-01-14,vri,0.0237083155066845,0.0237729636855247,,Sant Andreu
05,2018-01-15,vri,0.0242535461130358,0.0239474180615983,0.0243267216022059,Sarrià-Sant Gervasi
03,2018-01-15,vri,0.028344181131952,0.0278612882385446,0.0283277505480913,Sants-Montjuïc
04,2018-01-15,vri,0.0475485564078391,0.0469977528442741,0.0478172477741507,Les Corts
07,2018-01-15,vri,0.0310150406850612,0.0306191792464839,0.0311072224956654,Horta-Guinardó
06,2018-01-15,vri,0.0491386132911285,0.0485546937249059,0.0493394271719548,Gràcia
02,2018-01-15,vri,0.0422181743718786,0.0417386285418368,0.0424478876473357,Eixample
01,2018-01-15,vri,0.0335251322983647,0.0330397037541913,0.0336365984750355,Ciutat Vella
08,2018-01-15,vri,0.0265576345338792,0.0261437917839182,0.0265615126166957,Nou Barris
10,2018-01-15,vri,0.0351325218358984,0.0346937802413357,0.0352678322974158,Sant Martí
09,2018-01-15,vri,0.0242937624341765,0.0239853533507241,0.0243690057450469,Sant Andreu
05,2018-01-16,vri,0.0240553025209194,0.0238658081042234,0.0243666449182672,Sarrià-Sant Gervasi
03,2018-01-16,vri,0.0280154806692964,0.0277838717450317,0.0283711728922387,Sants-Montjuïc
04,2018-01-16,vri,0.0470677031690482,0.0468624722975674,0.0478919741198826,Les Corts
07,2018-01-16,vri,0.0306857557413039,0.0305337000038814,0.0311561359731176,Horta-Guinardó
06,2018-01-16,vri,0.0488607828083177,0.0483826017812607,0.049416913259144,Gràcia
02,2018-01-16,vri,0.0417834797490647,0.0415969372351808,0.0425209619563651,Eixample
01,2018-01-16,vri,0.0331409948727325,0.0329280612229668,0.0336970234835019,Ciutat Vella
08,2018-01-16,vri,0.0262244793407884,0.0260638925138029,0.0266107279339489,Nou Barris
10,2018-01-16,vri,0.0347978179332022,0.0345778933101504,0.0353312824826746,Sant Martí
09,2018-01-16,vri,0.0240449652615473,0.0239200157863356,0.024416916021985,Sant Andreu
05,2018-01-17,vri,0.0233920401521608,0.0238493105388809,0.0243954344188051,Sarrià-Sant Gervasi
03,2018-01-17,vri,0.0271476863196864,0.0277601354396612,0.0284104930972562,Sants-Montjuïc
04,2018-01-17,vri,0.0457312280081098,0.046776817557913,0.0479481139481388,Les Corts
07,2018-01-17,vri,0.029873956079883,0.0305130630298675,0.0311930987031645,Horta-Guinardó
06,2018-01-17,vri,0.0473968543706284,0.0483735510679179,0.0494705258655167,Gràcia
02,2018-01-17,vri,0.0406792817147873,0.0415302107781983,0.042574719281355,Eixample
01,2018-01-17,vri,0.0321477984859706,0.0328982074104127,0.0337460168105967,Ciutat Vella
08,2018-01-17,vri,0.025376909163009,0.0260400340347764,0.0266471786654422,Nou Barris
10,2018-01-17,vri,0.0338447640521514,0.0345492515733144,0.0353788382305773,Sant Martí
09,2018-01-17,vri,0.0234301690581767,0.0238953519024212,0.024455083270633,Sant Andreu
05,2018-01-18,vri,0.0242127500540056,0.0245795920978804,0.0241697469996947,Sarrià-Sant Gervasi
